,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
45,-0.938775455,0.441413637,-1.185159178,1.117774669,-2.382114367,1.963212494,-1.7013060480000002,0.47455936200000004,-0.514713688,-1.259948723,-0.573611235,1.10949537,-0.152249529,0.7119632779999999,1.492771975,0.041803712,0.053771168,0.32519300100000004,-0.409292734,4
46,-0.961979032,0.377422947,-0.950174892,0.637307528,-1.751338059,1.764863399,-1.545131731,0.5081845389999999,-0.632754835,-0.9375635790000001,-0.529912426,0.795629478,-0.6605531720000001,0.363060682,0.648889233,-0.153859783,0.5317881720000001,-0.303390924,-0.465532395,4
47,-1.099465902,0.332885955,-0.115622667,0.148442643,-1.269643799,0.520875491,-0.565344753,0.362652725,-0.676335004,-0.860033842,0.079674461,0.411603789,-0.212459438,0.37236600700000005,0.699679651,0.050090025999999996,0.318312824,-0.459264324,0.07777197400000001,4
49,-0.538383529,0.865782418,-0.712178765,0.596856041,0.291996872,1.8138941000000002,0.700237459,-0.095278509,-1.148363558,1.5902678999999997,-1.290566617,0.992598568,0.912843382,0.6164806070000001,-1.326611183,-0.285044956,0.538105575,-0.480798138,0.10521428699999999,5
50,-0.47424489700000005,0.714836743,-0.615024741,1.144044215,0.254522283,1.96530627,1.108627247,-0.605340346,-0.7471919229999999,2.536883511,-1.372042112,1.379358624,1.05393888,0.705702099,-1.5479890269999999,-0.340851185,-0.328476609,-0.454130373,0.013289823999999999,5
51,-0.40573933700000003,0.447920119,-0.7396523,1.211049173,0.611448641,2.60452454,1.177830113,-1.03711228,-0.574580811,3.3359613830000003,-1.7461772290000002,1.623382486,0.956641427,0.765285593,-1.4706131580000001,-0.13302281400000002,0.33509728699999997,0.5205837000000001,0.154499783,5
52,-0.504137266,0.26890622,-0.464044534,0.47441250799999996,0.47822292299999997,2.009584294,0.392398533,-0.393479831,-0.52018337,2.174672585,-1.163020444,1.249245958,0.7864899809999999,0.45458553399999996,-1.055308457,-0.293266685,0.166223803,-0.027634931,0.646285887,5
53,-0.5507821820000001,0.194297279,-0.623377152,0.655839214,0.08408057099999999,1.525945247,0.729316752,-0.40202807100000004,-0.825024732,1.4001922619999998,-1.303105418,1.311856603,0.518467178,0.433936339,-1.278985145,0.108328677,0.43421095600000004,-0.64148222,-0.38879185299999997,5
54,-0.6883914059999999,1.508548438,0.48238593799999996,2.005636035,-0.5046881089999999,2.105957284,0.6434935479999999,-0.051452627,-1.0275361840000001,2.1987594919999998,-1.135635743,0.86521921,1.714058215,1.187075149,-2.063308517,-0.88920595,-0.6588690770000001,0.934755179,1.769833934,5
55,-0.423474306,0.7274177059999999,-1.084677233,1.4425832440000002,-0.08270063400000001,2.4274132180000003,0.6849373129999999,-0.401542099,-0.667733182,2.640069236,-1.5286100969999998,1.550041588,1.578493374,1.265921974,-2.002178782,0.01119903,0.146828924,0.112871395,-0.985641216,5
